t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
915486.0,0.64,2.0,8.42,-0.0,-0.29,-0.06,-40.02,25.93,-30.88,D,-0.27145177805419923,-0.4439313134380249,0.4439313134380249,0.27145177805419923
915499.0,0.65,2.06,8.08,-0.03,-0.33,-0.07,-39.28,24.73,-31.18,D,-0.3033543010960786,-0.27589867463976137,0.27589867463976137,0.3033543010960786
915512.0,0.65,2.03,7.63,-0.1,-0.39,-0.09,-39.28,24.73,-31.18,D,-0.34588008040053014,-0.20841587393010205,0.20841587393010205,0.34588008040053014
915525.0,0.7,1.93,7.26,-0.09,-0.49,-0.12,-39.72,24.43,-32.38,D,-0.4405360331893154,-0.21298205484767097,0.21298205484767097,0.4405360331893154
915538.0,0.8,1.8,7.04,-0.07,-0.66,-0.11,-40.77,26.53,-32.23,D,-0.6109187222312299,-0.10583121422920064,0.10583121422920064,0.6109187222312299
915551.0,0.9,1.56,6.68,-0.08,-0.85,-0.1,-41.52,24.58,-31.03,D,-0.7952251688006495,-0.0630767363712399,0.0630767363712399,0.7952251688006495
915564.0,1.04,1.58,6.56,-0.04,-0.97,-0.05,-39.42,25.63,-30.58,D,-0.926531134610504,-0.07558625943865084,0.07558625943865084,0.926531134610504
915577.0,1.06,1.41,6.31,0.0,-1.17,-0.03,-42.42,24.13,-31.03,D,-1.1312137864298364,-0.10379639261690345,0.10379639261690345,1.1312137864298364
915590.0,1.16,1.29,6.14,0.0,-1.36,-0.01,-41.37,25.48,-29.68,D,-1.3188207342641896,-0.11903321928893291,0.11903321928893291,1.3188207342641896
915603.0,1.36,1.4,5.85,0.07,-1.65,0.01,-39.87,25.33,-30.58,D,-1.6165017706209779,-0.09425750694534608,0.09425750694534608,1.6165017706209779
915616.0,1.55,1.27,5.49,0.11,-1.85,0.05,-40.32,26.08,-30.28,D,-1.824107670344276,-0.005839938563185105,0.005839938563185105,1.824107670344276
915629.0,1.7,1.2,5.32,0.07,-2.1,0.0,-41.67,24.73,-27.73,D,-2.052448909662018,-0.006035882862531907,0.006035882862531907,2.052448909662018
915642.0,1.85,1.21,5.06,0.08,-2.37,0.12,-42.57,25.48,-27.43,D,-2.3342725321945745,-0.01669189337926658,0.01669189337926658,2.3342725321945745
915655.0,2.02,1.24,4.87,0.11,-2.65,0.18,-43.62,24.13,-26.38,D,-2.6207243603743136,-0.06655854669779387,0.06655854669779387,2.6207243603743136
915667.0,2.31,1.25,4.51,0.19,-2.92,0.25,-43.62,24.13,-26.38,D,-2.908112004337609,-0.05169897338673213,0.05169897338673213,2.908112004337609
915681.0,2.6,1.29,4.32,0.37,-3.27,0.43,-44.67,23.98,-25.03,D,-3.307727842767645,-0.06675449099714069,0.06675449099714069,3.307727842767645
915694.0,3.13,1.02,4.53,0.44,-3.48,0.62,-47.52,23.98,-23.54,D,-3.5524949284427123,-0.005839938563185105,0.005839938563185105,3.5524949284427123
915707.0,3.78,1.03,5.02,0.53,-3.73,0.71,-47.52,23.98,-23.54,D,-3.825204308156567,-0.0476439653998636,0.0476439653998636,3.825204308156567
915720.0,4.68,1.18,5.61,0.59,-3.88,0.81,-48.57,23.39,-21.44,D,-3.9966567325517706,-0.03429340553267275,0.03429340553267275,3.9966567325517706
